filename,n_redactions
01705.txt,9
01706.txt,36
01707.txt,16
01708.txt,0
01709.txt,0
01710.txt,0
01711.txt,13
01712.txt,9
01713.txt,9
01714.txt,8
01715.txt,2
01716.txt,3
01717.txt,4
01718.txt,1
01719.txt,7
01720.txt,2
01721.txt,3
01722.txt,3
01723.txt,7
01724.txt,25
01725.txt,14
01726.txt,35
01727.txt,2
01728.txt,3
01729.txt,15
01730.txt,6
01731.txt,1
01732.txt,6
01733.txt,2
01734.txt,6
01735.txt,8
01736.txt,34
01737.txt,13
01738.txt,54
01739.txt,14
01740.txt,4
01741.txt,17
01742.txt,62
01743.txt,5
01744.txt,16
01745.txt,2
01746.txt,37
01747.txt,70
01748.txt,3
01749.txt,1
01750.txt,36
